figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.1,10.0,asr,0.9804948729380294,98.04948729380294,1,1,
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.1,10.0,mta,0.9863,98.63,1,1,
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.2,20.0,asr,0.9907489968791797,99.07489968791798,1,1,
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.2,20.0,mta,0.9861,98.61,1,1,
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.3,30.0,asr,0.9983,99.83,1,1,
backdoor_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,backdoor,0.3,30.0,mta,0.9845,98.45,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.1,10.0,asr,0.011703076237182345,1.1703076237182344,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.1,10.0,mta,0.9521,95.21,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.2,20.0,asr,0.007913508693713777,0.7913508693713777,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.2,20.0,mta,0.9589,95.89,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.3,30.0,asr,0.9991,99.91,1,1,
backdoor_sweep,mnist,IID,MNIST IID,krum,Krum,backdoor,0.3,30.0,mta,0.9481,94.81,1,1,
backdoor_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,asr,0.6435577351761035,64.35577351761034,1,1,
backdoor_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,mta,0.9851,98.50999999999999,1,1,
backdoor_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,asr,0.9324565314311191,93.24565314311191,1,1,
backdoor_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,mta,0.9844,98.44000000000001,1,1,
