figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.1,10.0,mta,0.9877,98.77,1,1,
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.2,20.0,asr,0.000881057268722467,0.0881057268722467,1,1,
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.2,20.0,mta,0.9868,98.68,1,1,
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.3,30.0,asr,0.0062,0.62,1,1,
labelflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,label_flip,0.3,30.0,mta,0.9872,98.72,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.1,10.0,asr,0.003524229074889868,0.3524229074889868,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.1,10.0,mta,0.9539,95.39,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.2,20.0,asr,0.0026431718061674008,0.2643171806167401,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.2,20.0,mta,0.9424,94.24,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.3,30.0,asr,0.0018,0.18,1,1,
labelflip_sweep,mnist,IID,MNIST IID,krum,Krum,label_flip,0.3,30.0,mta,0.9544,95.44,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.1,10.0,asr,0.001762114537444934,0.1762114537444934,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.1,10.0,mta,0.987,98.7,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.2,20.0,mta,0.9854,98.54,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.3,30.0,asr,0.0026,0.26,1,1,
labelflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,label_flip,0.3,30.0,mta,0.9845,98.45,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.1,10.0,mta,0.988,98.8,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.2,20.0,mta,0.9869,98.69,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.3,30.0,asr,0.007,0.70,1,1,
labelflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,label_flip,0.3,30.0,mta,0.9862,98.62,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.1,10.0,mta,0.9876,98.76,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.2,20.0,asr,0.000881057268722467,0.0881057268722467,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.2,20.0,mta,0.9874,98.74000000000001,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.3,30.0,asr,0.0026,0.26,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,label_flip,0.3,30.0,mta,0.9872,98.72,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.1,10.0,mta,0.9873,98.72999999999999,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.2,20.0,mta,0.9865,98.65,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.3,30.0,asr,0.0,0.00,1,1,
labelflip_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,label_flip,0.3,30.0,mta,0.9868,98.68,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.1,10.0,asr,0.000881057268722467,0.0881057268722467,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.1,10.0,mta,0.9852,98.52,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.2,20.0,mta,0.9833,98.33,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.3,30.0,asr,0.0009,0.09,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,label_flip,0.3,30.0,mta,0.9834,98.34,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.1,10.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.1,10.0,mta,0.8342,83.42,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.2,20.0,asr,0.0,0.0,1,1,
labelflip_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,label_flip,0.2,20.0,mta,0.889,88.9,1,1,
