figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.0,0.0,mta,0.9877,98.77,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.1,10.0,mta,0.9866,98.66,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.2,20.0,mta,0.9857,98.57000000000001,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.3,30.0,mta,0.9795,97.95,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.0,0.0,mta,0.9352,93.52,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.1,10.0,mta,0.9578,95.78,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.2,20.0,mta,0.3027,30.270000000000003,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.3,30.0,mta,0.0109,1.09,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.0,0.0,mta,0.9859,98.59,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.1,10.0,mta,0.9866,98.66,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.2,20.0,mta,0.9797,97.97,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.3,30.0,mta,0.9484,94.84,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.0,0.0,mta,0.9872,98.72,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.1,10.0,mta,0.9852,98.52,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.2,20.0,mta,0.9585,95.85000000000001,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.3,30.0,mta,0.9035,90.35,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.0,0.0,mta,0.987,98.70,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.1,10.0,mta,0.9875,98.75,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.2,20.0,mta,0.9848,98.48,1,1,
